"","B_COUNTRY_ALPHA","Q46","Q49","Q274"
"3444","AUS",2,5,0
"3445","AUS",1,8,1
"3446","AUS",2,6,0
"3447","AUS",2,8,3
"3448","AUS",2,7,1
"3449","AUS",2,8,4
"3450","AUS",2,8,1
"3451","AUS",1,9,0
"3452","AUS",2,9,2
"3453","AUS",2,8,2
"3454","AUS",1,10,2
"3455","AUS",2,7,0
"3456","AUS",2,5,3
"3457","AUS",1,10,0
"3458","AUS",2,10,1
"3459","AUS",1,9,3
"3460","AUS",2,10,3
"3461","AUS",2,8,1
"3462","AUS",2,5,0
"3463","AUS",2,6,2
"3464","AUS",2,6,NA
"3465","AUS",1,9,3
"3466","AUS",2,7,3
"3467","AUS",1,8,1
"3468","AUS",2,7,NA
"3469","AUS",1,10,2
"3470","AUS",2,9,4
"3471","AUS",1,10,2
"3472","AUS",2,8,0
"3473","AUS",1,8,2
"3474","AUS",2,6,3
"3475","AUS",2,9,3
"3476","AUS",3,3,0
"3477","AUS",2,8,1
"3478","AUS",2,7,2
"3479","AUS",2,8,4
"3480","AUS",2,8,2
"3481","AUS",2,8,2
"3482","AUS",2,7,2
"3483","AUS",2,8,3
"3484","AUS",2,9,4
"3485","AUS",3,4,3
"3486","AUS",1,9,1
"3487","AUS",2,7,2
"3488","AUS",1,8,2
"3489","AUS",2,9,3
"3490","AUS",1,8,2
"3491","AUS",2,7,0
"3492","AUS",1,10,0
"3493","AUS",2,8,2
"3494","AUS",2,7,4
"3495","AUS",1,7,2
"3496","AUS",1,8,3
"3497","AUS",2,8,2
"3498","AUS",2,7,2
"3499","AUS",3,1,1
"3500","AUS",2,9,2
"3501","AUS",2,8,4
"3502","AUS",1,7,3
"3503","AUS",1,10,2
"3504","AUS",1,8,1
"3505","AUS",2,8,0
"3506","AUS",1,9,1
"3507","AUS",1,9,3
"3508","AUS",1,NA,2
"3509","AUS",2,8,2
"3510","AUS",2,8,2
"3511","AUS",1,10,2
"3512","AUS",1,10,5
"3513","AUS",2,8,2
"3514","AUS",3,6,4
"3515","AUS",1,10,4
"3516","AUS",2,7,0
"3517","AUS",1,10,3
"3518","AUS",2,8,0
"3519","AUS",1,10,2
"3520","AUS",2,8,4
"3521","AUS",3,7,2
"3522","AUS",2,6,1
"3523","AUS",2,8,2
"3524","AUS",2,8,0
"3525","AUS",2,8,0
"3526","AUS",2,8,1
"3527","AUS",2,8,2
"3528","AUS",2,7,2
"3529","AUS",1,8,3
"3530","AUS",1,10,0
"3531","AUS",2,1,3
"3532","AUS",1,8,3
"3533","AUS",1,10,2
"3534","AUS",1,9,0
"3535","AUS",2,7,1
"3536","AUS",1,9,3
"3537","AUS",2,7,2
"3538","AUS",1,9,5
"3539","AUS",2,6,3
"3540","AUS",2,9,2
"3541","AUS",3,6,0
"3542","AUS",2,5,3
"3543","AUS",2,9,0
"3544","AUS",2,6,2
"3545","AUS",1,9,3
"3546","AUS",2,8,2
"3547","AUS",2,7,3
"3548","AUS",2,5,1
"3549","AUS",1,9,3
"3550","AUS",1,8,1
"3551","AUS",2,8,2
"3552","AUS",2,7,0
"3553","AUS",1,9,0
"3554","AUS",2,8,1
"3555","AUS",2,7,1
"3556","AUS",NA,NA,0
"3557","AUS",2,8,1
"3558","AUS",1,9,2
"3559","AUS",1,9,0
"3560","AUS",2,4,0
"3561","AUS",2,9,0
"3562","AUS",2,8,0
"3563","AUS",2,9,0
"3564","AUS",1,8,0
"3565","AUS",2,1,1
"3566","AUS",1,9,2
"3567","AUS",2,7,2
"3568","AUS",2,8,2
"3569","AUS",2,9,2
"3570","AUS",2,8,0
"3571","AUS",2,8,2
"3572","AUS",1,9,4
"3573","AUS",1,9,2
"3574","AUS",2,8,NA
"3575","AUS",2,9,4
"3576","AUS",2,8,1
"3577","AUS",2,3,0
"3578","AUS",1,8,2
"3579","AUS",1,10,3
"3580","AUS",1,10,4
"3581","AUS",1,8,2
"3582","AUS",2,5,2
"3583","AUS",2,7,0
"3584","AUS",1,8,0
"3585","AUS",1,9,3
"3586","AUS",2,7,1
"3587","AUS",2,5,1
"3588","AUS",1,10,0
"3589","AUS",2,9,0
"3590","AUS",1,5,8
"3591","AUS",2,9,4
"3592","AUS",2,10,NA
"3593","AUS",2,8,3
"3594","AUS",2,8,6
"3595","AUS",3,2,0
"3596","AUS",2,9,0
"3597","AUS",2,8,0
"3598","AUS",1,8,1
"3599","AUS",2,7,0
"3600","AUS",1,10,1
"3601","AUS",2,7,1
"3602","AUS",2,5,1
"3603","AUS",2,8,0
"3604","AUS",2,8,2
"3605","AUS",2,5,1
"3606","AUS",1,10,3
"3607","AUS",2,8,2
"3608","AUS",2,6,2
"3609","AUS",1,8,2
"3610","AUS",2,9,2
"3611","AUS",2,8,1
"3612","AUS",1,8,2
"3613","AUS",1,7,3
"3614","AUS",2,8,1
"3615","AUS",1,8,0
"3616","AUS",2,9,0
"3617","AUS",2,8,0
"3618","AUS",2,7,0
"3619","AUS",2,7,6
"3620","AUS",2,6,2
"3621","AUS",2,5,NA
"3622","AUS",2,9,2
"3623","AUS",2,6,NA
"3624","AUS",1,8,0
"3625","AUS",1,9,3
"3626","AUS",2,7,1
"3627","AUS",2,4,0
"3628","AUS",2,6,3
"3629","AUS",2,9,1
"3630","AUS",2,5,0
"3631","AUS",2,9,0
"3632","AUS",2,9,0
"3633","AUS",1,10,1
"3634","AUS",2,6,5
"3635","AUS",1,9,2
"3636","AUS",3,6,0
"3637","AUS",2,8,0
"3638","AUS",1,8,3
"3639","AUS",2,8,2
"3640","AUS",2,6,0
"3641","AUS",2,7,1
"3642","AUS",2,5,0
"3643","AUS",2,7,0
"3644","AUS",2,8,4
"3645","AUS",2,NA,3
"3646","AUS",1,10,4
"3647","AUS",2,7,0
"3648","AUS",3,3,3
"3649","AUS",2,10,4
"3650","AUS",2,8,NA
"3651","AUS",1,7,0
"3652","AUS",2,9,1
"3653","AUS",2,6,3
"3654","AUS",2,9,4
"3655","AUS",1,NA,2
"3656","AUS",1,9,0
"3657","AUS",1,9,2
"3658","AUS",2,9,4
"3659","AUS",1,9,2
"3660","AUS",1,10,2
"3661","AUS",2,8,2
"3662","AUS",2,8,0
"3663","AUS",2,8,3
"3664","AUS",2,8,2
"3665","AUS",2,8,1
"3666","AUS",1,10,2
"3667","AUS",2,8,0
"3668","AUS",1,9,5
"3669","AUS",2,5,0
"3670","AUS",2,5,0
"3671","AUS",2,8,0
"3672","AUS",2,8,3
"3673","AUS",2,6,2
"3674","AUS",2,6,0
"3675","AUS",2,8,2
"3676","AUS",1,6,0
"3677","AUS",2,7,0
"3678","AUS",2,8,0
"3679","AUS",2,7,2
"3680","AUS",2,7,2
"3681","AUS",1,9,2
"3682","AUS",1,10,4
"3683","AUS",2,8,0
"3684","AUS",1,8,2
"3685","AUS",2,7,2
"3686","AUS",1,9,0
"3687","AUS",2,6,2
"3688","AUS",2,6,2
"3689","AUS",3,5,2
"3690","AUS",2,5,3
"3691","AUS",2,7,0
"3692","AUS",2,9,3
"3693","AUS",2,6,5
"3694","AUS",1,5,0
"3695","AUS",2,8,2
"3696","AUS",1,10,0
"3697","AUS",1,10,1
"3698","AUS",3,5,2
"3699","AUS",2,9,0
"3700","AUS",2,7,2
"3701","AUS",1,10,1
"3702","AUS",2,8,2
"3703","AUS",2,5,3
"3704","AUS",1,8,2
"3705","AUS",3,3,1
"3706","AUS",1,8,3
"3707","AUS",1,6,2
"3708","AUS",2,9,3
"3709","AUS",2,10,0
"3710","AUS",3,4,2
"3711","AUS",1,8,2
"3712","AUS",2,8,3
"3713","AUS",2,5,2
"3714","AUS",2,8,0
"3715","AUS",2,8,2
"3716","AUS",1,10,4
"3717","AUS",2,7,3
"3718","AUS",2,8,2
"3719","AUS",1,10,2
"3720","AUS",1,9,0
"3721","AUS",2,5,3
"3722","AUS",2,7,1
"3723","AUS",2,6,4
"3724","AUS",1,9,3
"3725","AUS",2,7,0
"3726","AUS",4,1,0
"3727","AUS",1,8,2
"3728","AUS",2,8,7
"3729","AUS",2,8,2
"3730","AUS",1,10,3
"3731","AUS",2,5,2
"3732","AUS",1,NA,0
"3733","AUS",2,7,2
"3734","AUS",2,9,2
"3735","AUS",1,10,4
"3736","AUS",2,7,1
"3737","AUS",3,5,1
"3738","AUS",2,5,1
"3739","AUS",2,8,3
"3740","AUS",3,4,2
"3741","AUS",3,7,0
"3742","AUS",2,9,1
"3743","AUS",1,8,2
"3744","AUS",1,10,4
"3745","AUS",2,8,3
"3746","AUS",2,7,3
"3747","AUS",2,9,2
"3748","AUS",3,NA,2
"3749","AUS",2,7,0
"3750","AUS",2,8,3
"3751","AUS",2,8,2
"3752","AUS",2,8,2
"3753","AUS",2,8,2
"3754","AUS",2,8,1
"3755","AUS",2,8,7
"3756","AUS",2,8,2
"3757","AUS",2,8,4
"3758","AUS",2,7,2
"3759","AUS",2,7,1
"3760","AUS",1,10,5
"3761","AUS",1,10,4
"3762","AUS",2,7,NA
"3763","AUS",2,5,0
"3764","AUS",3,3,0
"3765","AUS",2,7,4
"3766","AUS",1,8,3
"3767","AUS",2,8,NA
"3768","AUS",3,5,4
"3769","AUS",2,3,0
"3770","AUS",2,9,2
"3771","AUS",2,8,NA
"3772","AUS",2,8,3
"3773","AUS",1,10,2
"3774","AUS",2,7,0
"3775","AUS",2,8,1
"3776","AUS",1,9,1
"3777","AUS",2,8,1
"3778","AUS",2,5,0
"3779","AUS",2,6,2
"3780","AUS",2,7,3
"3781","AUS",2,9,2
"3782","AUS",2,9,2
"3783","AUS",1,9,2
"3784","AUS",3,3,0
"3785","AUS",2,10,5
"3786","AUS",2,9,2
"3787","AUS",2,8,2
"3788","AUS",1,9,5
"3789","AUS",2,8,5
"3790","AUS",3,2,8
"3791","AUS",2,7,0
"3792","AUS",1,9,4
"3793","AUS",1,8,0
"3794","AUS",2,7,2
"3795","AUS",1,10,0
"3796","AUS",2,8,2
"3797","AUS",2,8,0
"3798","AUS",1,9,3
"3799","AUS",1,9,4
"3800","AUS",2,8,3
"3801","AUS",2,8,2
"3802","AUS",2,7,2
"3803","AUS",2,8,0
"3804","AUS",1,10,0
"3805","AUS",2,5,2
"3806","AUS",1,9,1
"3807","AUS",2,9,3
"3808","AUS",1,8,2
"3809","AUS",1,8,2
"3810","AUS",2,9,3
"3811","AUS",2,7,0
"3812","AUS",3,6,0
"3813","AUS",3,6,0
"3814","AUS",2,8,3
"3815","AUS",2,8,4
"3816","AUS",2,7,1
"3817","AUS",2,8,0
"3818","AUS",2,6,0
"3819","AUS",2,8,0
"3820","AUS",1,10,2
"3821","BGD",1,8,2
"3822","BGD",2,7,2
"3823","BGD",2,8,1
"3824","BGD",2,8,2
"3825","BGD",2,7,1
"3826","BGD",1,10,3
"3827","BGD",2,9,2
"3828","BGD",2,10,3
"3829","BGD",2,6,2
"3830","BGD",2,8,1
"3831","BGD",2,6,1
"3832","BGD",1,8,2
"3833","BGD",2,8,2
"3834","BGD",1,8,3
"3835","BGD",2,9,0
"3836","BGD",3,7,3
"3837","BGD",2,5,3
"3838","BGD",2,6,3
"3839","BGD",2,9,1
"3840","BGD",2,7,3
"3841","BGD",3,6,5
"3842","BGD",2,7,3
"3843","BGD",2,9,2
"3844","BGD",3,2,2
"3845","BGD",3,7,3
"3846","BGD",1,8,0
"3847","BGD",3,7,4
"3848","BGD",3,7,2
"3849","BGD",2,9,2
"3850","BGD",2,7,2
"3851","BGD",2,4,3
"3852","BGD",2,1,1
"3853","BGD",2,8,2
"3854","BGD",1,9,0
"3855","BGD",2,8,3
"3856","BGD",3,8,3
"3857","BGD",2,8,2
"3858","BGD",2,8,0
"3859","BGD",2,9,1
"3860","BGD",2,2,0
"3861","BGD",1,10,2
"3862","BGD",2,8,2
"3863","BGD",1,8,0
"3864","BGD",1,8,3
"3865","BGD",1,8,1
"3866","BGD",1,10,2
"3867","BGD",2,6,2
"3868","BGD",1,10,3
"3869","BGD",2,8,3
"3870","BGD",2,10,2
"3871","BGD",2,2,2
"3872","BGD",2,8,1
"3873","BGD",1,10,1
"3874","BGD",1,8,4
"3875","BGD",1,5,3
"3876","BGD",1,8,0
"3877","BGD",2,4,0
"3878","BGD",2,10,2
"3879","BGD",1,8,2
"3880","BGD",1,5,0
"3881","BGD",1,10,1
"3882","BGD",2,7,0
"3883","BGD",1,10,2
"3884","BGD",2,3,0
"3885","BGD",1,10,2
"3886","BGD",2,8,4
"3887","BGD",1,10,3
"3888","BGD",1,10,1
"3889","BGD",1,7,4
"3890","BGD",2,8,2
"3891","BGD",2,8,4
"3892","BGD",2,7,3
"3893","BGD",1,10,0
"3894","BGD",2,8,2
"3895","BGD",1,9,2
"3896","BGD",1,10,2
"3897","BGD",2,10,1
"3898","BGD",2,10,3
"3899","BGD",2,10,3
"3900","BGD",2,7,2
"3901","BGD",1,10,2
"3902","BGD",2,6,2
"3903","BGD",1,10,2
"3904","BGD",1,10,2
"3905","BGD",1,10,1
"3906","BGD",1,6,2
"3907","BGD",1,8,2
"3908","BGD",2,8,2
"3909","BGD",1,10,2
"3910","BGD",1,8,1
"3911","BGD",2,7,5
"3912","BGD",1,7,4
"3913","BGD",2,7,4
"3914","BGD",1,7,1
"3915","BGD",2,6,3
"3916","BGD",2,6,1
"3917","BGD",1,7,2
"3918","BGD",2,8,4
"3919","BGD",2,8,2
"3920","BGD",2,6,4
"3921","BGD",2,10,2
"3922","BGD",1,9,3
"3923","BGD",2,8,2
"3924","BGD",1,8,2
"3925","BGD",2,7,4
"3926","BGD",1,7,0
"3927","BGD",2,7,2
"3928","BGD",2,7,2
"3929","BGD",2,8,1
"3930","BGD",1,5,3
"3931","BGD",2,8,1
"3932","BGD",2,8,2
"3933","BGD",1,10,2
"3934","BGD",1,8,1
"3935","BGD",3,10,1
"3936","BGD",2,7,0
"3937","BGD",2,10,1
"3938","BGD",2,7,1
"3939","BGD",2,7,1
"3940","BGD",3,8,2
"3941","BGD",2,8,1
"3942","BGD",2,3,3
"3943","BGD",4,4,1
"3944","BGD",1,1,3
"3945","BGD",2,9,5
"3946","BGD",2,10,0
"3947","BGD",2,9,0
"3948","BGD",2,5,0
"3949","BGD",3,1,4
"3950","BGD",4,1,3
"3951","BGD",1,10,0
"3952","BGD",3,7,3
"3953","BGD",2,10,3
"3954","BGD",1,8,2
"3955","BGD",2,8,0
"3956","BGD",3,8,3
"3957","BGD",2,7,3
"3958","BGD",2,9,2
"3959","BGD",1,9,1
"3960","BGD",3,8,2
"3961","BGD",2,7,2
"3962","BGD",2,7,1
"3963","BGD",1,7,3
"3964","BGD",2,8,2
"3965","BGD",2,5,4
"3966","BGD",2,5,3
"3967","BGD",2,9,2
"3968","BGD",2,8,2
"3969","BGD",2,6,3
"3970","BGD",2,9,3
"3971","BGD",1,8,4
"3972","BGD",1,8,2
"3973","BGD",2,7,3
"3974","BGD",2,10,0
"3975","BGD",1,9,4
"3976","BGD",2,9,2
"3977","BGD",2,9,2
"3978","BGD",2,9,4
"3979","BGD",1,8,5
"3980","BGD",2,9,3
"3981","BGD",2,7,2
"3982","BGD",1,10,0
"3983","BGD",2,9,2
"3984","BGD",3,7,2
"3985","BGD",4,3,2
"3986","BGD",2,9,1
"3987","BGD",2,8,2
"3988","BGD",3,8,2
"3989","BGD",2,3,3
"3990","BGD",3,6,2
"3991","BGD",1,9,2
"3992","BGD",1,10,0
"3993","BGD",2,8,1
"3994","BGD",2,8,2
"3995","BGD",2,6,2
"3996","BGD",2,9,2
"3997","BGD",2,8,3
"3998","BGD",2,7,1
"3999","BGD",2,7,3
"4000","BGD",2,9,2
"4001","BGD",1,10,0
"4002","BGD",2,10,2
"4003","BGD",2,10,3
"4004","BGD",2,8,1
"4005","BGD",2,9,2
"4006","BGD",2,7,2
"4007","BGD",2,8,1
"4008","BGD",2,9,3
"4009","BGD",1,9,1
"4010","BGD",3,6,0
"4011","BGD",1,9,2
"4012","BGD",1,7,2
"4013","BGD",1,9,3
"4014","BGD",2,7,0
"4015","BGD",2,8,0
"4016","BGD",2,7,2
"4017","BGD",2,6,3
"4018","BGD",1,6,2
"4019","BGD",2,10,0
"4020","BGD",1,10,2
"4021","BGD",2,10,0
"4022","BGD",2,10,3
"4023","BGD",2,6,0
"4024","BGD",2,5,1
"4025","BGD",2,10,0
"4026","BGD",2,10,1
"4027","BGD",2,8,3
"4028","BGD",2,9,3
"4029","BGD",2,10,4
"4030","BGD",2,10,5
"4031","BGD",3,8,2
"4032","BGD",2,7,5
"4033","BGD",2,7,2
"4034","BGD",2,8,2
"4035","BGD",2,8,1
"4036","BGD",2,8,0
"4037","BGD",2,8,2
"4038","BGD",2,9,1
"4039","BGD",3,7,2
"4040","BGD",2,6,0
"4041","BGD",2,7,1
"4042","BGD",2,8,1
"4043","BGD",2,7,4
"4044","BGD",2,7,4
"4045","BGD",2,7,2
"4046","BGD",2,7,3
"4047","BGD",2,8,1
"4048","BGD",2,7,2
"4049","BGD",3,8,5
"4050","BGD",2,7,1
"4051","BGD",2,8,3
"4052","BGD",2,9,0
"4053","BGD",2,7,0
"4054","BGD",1,10,8
"4055","BGD",1,10,4
"4056","BGD",2,10,2
"4057","BGD",2,10,4
"4058","BGD",1,8,3
"4059","BGD",2,5,3
"4060","BGD",2,10,1
"4061","BGD",2,7,0
"4062","BGD",2,9,1
"4063","BGD",1,10,2
"4064","BGD",1,8,0
"4065","BGD",2,9,2
"4066","BGD",2,8,2
"4067","BGD",2,9,2
"4068","BGD",2,6,2
"4069","BGD",2,8,4
"4070","BGD",1,10,1
"4071","BGD",1,8,2
"4072","BGD",2,9,2
"4073","BGD",1,8,2
"4074","BGD",3,5,2
"4075","BGD",2,7,6
"4076","BGD",3,6,0
"4077","BGD",2,5,4
"4078","BGD",2,8,3
"4079","BGD",2,9,2
"4080","BGD",3,7,0
"4081","BGD",2,6,4
"4082","BGD",1,7,4
"4083","BGD",2,10,2
"4084","BGD",2,8,2
"4085","BGD",1,8,3
"4086","BGD",2,7,1
"4087","BGD",1,7,0
"4088","BGD",1,9,1
"4089","BGD",2,8,1
"4090","BGD",2,9,1
"4091","BGD",2,10,3
"4092","BGD",2,7,0
"4093","BGD",2,10,0
"4094","BGD",1,8,1
"4095","BGD",2,5,4
"4096","BGD",2,9,1
"4097","BGD",1,8,2
"4098","BGD",1,8,1
"4099","BGD",2,7,0
"4100","BGD",2,7,2
"4101","BGD",2,7,3
"4102","BGD",2,7,3
"4103","BGD",1,6,4
"4104","BGD",2,6,2
"4105","BGD",2,6,4
"4106","BGD",2,7,3
"4107","BGD",3,5,4
"4108","BGD",2,8,1
"4109","BGD",3,5,4
"4110","BGD",3,8,0
"4111","BGD",2,10,3
"4112","BGD",2,10,5
"4113","BGD",2,10,4
"4114","BGD",2,10,2
"4115","BGD",2,9,5
"4116","BGD",3,1,1
"4117","BGD",2,10,0
"4118","BGD",4,1,0
"4119","BGD",2,1,1
"4120","BGD",3,1,4
"4121","BGD",2,10,0
"4122","BGD",1,10,0
"4123","BGD",2,8,2
"4124","BGD",1,9,3
"4125","BGD",2,9,1
"4126","BGD",2,10,2
"4127","BGD",2,10,3
"4128","BGD",2,7,2
"4129","BGD",2,9,0
"4130","BGD",2,8,2
"4131","BGD",4,5,1
"4132","BGD",2,5,2
"4133","BGD",3,5,3
"4134","BGD",2,10,4
"4135","BGD",1,7,4
"4136","BGD",2,7,1
"4137","BGD",1,7,3
"4138","BGD",2,7,1
"4139","BGD",2,7,3
"4140","BGD",2,7,1
"4141","BGD",1,9,0
"4142","BGD",2,8,3
"4143","BGD",2,7,2
"4144","BGD",1,9,2
"4145","BGD",2,8,3
"4146","BGD",2,6,2
"4147","BGD",1,8,2
"4148","BGD",2,7,3
"4149","BGD",2,5,2
"4150","BGD",2,6,2
"4151","BGD",2,8,2
"4152","BGD",2,8,2
"4153","BGD",2,6,2
"4154","BGD",1,8,1
"4155","BGD",1,6,2
"4156","BGD",2,7,2
"4157","BGD",2,8,1
"4158","BGD",2,7,1
"4159","BGD",2,7,3
"4160","BGD",3,9,1
"4161","BGD",1,10,1
"4162","BGD",2,9,1
"4163","BGD",1,10,1
"4164","BGD",1,10,1
"4165","BGD",2,6,3
"4166","BGD",2,8,4
"4167","BGD",2,10,0
"4168","BGD",2,9,4
"4169","BGD",2,9,0
"4170","BGD",3,6,2
"4171","BGD",1,9,2
"4172","BGD",1,9,4
"4173","BGD",4,2,0
"4174","BGD",2,9,3
"4175","BGD",1,6,2
"4176","BGD",2,2,0
"4177","BGD",2,5,1
"4178","BGD",2,8,2
"4179","BGD",2,10,0
"4180","BGD",2,5,0
"4181","BGD",1,6,2
"4182","BGD",3,3,0
"4183","BGD",1,8,1
"4184","BGD",2,1,3
"4185","BGD",2,9,1
"4186","BGD",3,9,2
"4187","BGD",2,9,2
"4188","BGD",2,6,2
"4189","BGD",1,9,4
"4190","BGD",2,9,1
"4191","BGD",1,8,7
"4192","BGD",2,7,2
"4193","BGD",2,4,4
"4194","BGD",2,8,3
"4195","BGD",2,8,3
"4196","BGD",1,8,3
"4197","BGD",2,8,1
"4198","BGD",2,8,3
"4199","BGD",2,6,1
"4200","BGD",1,8,1
"4201","BGD",1,8,3
"4202","BGD",2,9,1
"4203","BGD",1,10,1
"4204","BGD",1,8,0
"4205","BGD",2,9,1
"4206","BGD",2,10,1
"4207","BGD",2,9,2
"4208","BGD",2,2,2
"4209","BGD",2,9,1
"4210","BGD",2,2,0
"4211","BGD",2,8,1
"4212","BGD",1,6,0
"4213","BGD",2,8,2
"4214","BGD",2,9,3
"4215","BGD",2,5,2
"4216","BGD",1,8,2
"4217","BGD",2,10,0
"4218","BGD",1,6,1
"4219","BGD",2,10,2
"4220","BGD",2,9,2
"4221","BGD",2,9,0
"4222","BGD",2,7,2
"4223","BGD",1,7,1
"4224","BGD",2,9,2
"4225","BGD",2,8,2
"4226","BGD",2,7,5
"4227","BGD",2,6,3
"4228","BGD",2,10,2
"4229","BGD",2,6,3
"4230","BGD",2,8,3
"4231","BGD",1,8,1
"4232","BGD",2,6,2
"4233","BGD",2,8,4
"4234","BGD",2,7,3
"4235","BGD",2,8,3
"4236","BGD",2,7,0
"4237","BGD",2,9,3
"4238","BGD",2,8,2
"4239","BGD",1,8,3
"4240","BGD",1,10,2
"4241","BGD",1,7,3
"4242","BGD",1,7,1
"4243","BGD",2,7,2
"4244","BGD",1,6,1
"4245","BGD",2,9,0
"4246","BGD",2,6,3
"4247","BGD",1,6,4
"4248","BGD",1,7,2
"4249","BGD",2,10,1
"4250","BGD",2,7,2
"4251","BGD",2,8,1
"4252","BGD",2,8,2
"4253","BGD",2,8,2
"4254","BGD",1,7,1
"4255","BGD",2,7,1
"4256","BGD",3,6,5
"4257","BGD",2,8,2
"4258","BGD",2,8,2
"4259","BGD",2,10,0
"4260","BGD",2,8,0
"4261","BGD",2,8,0
"4262","BGD",2,8,2
"4263","BGD",1,8,1
"4264","BGD",2,9,0
"4265","BGD",2,10,1
"4266","BGD",1,7,0
"4267","BGD",1,9,3
"4268","BGD",2,10,0
"4269","BGD",2,9,0
"4270","BGD",1,10,2
"4271","BGD",2,9,1
"4272","BGD",2,10,2
"4273","BGD",2,10,3
"4274","BGD",2,5,0
"4275","BGD",1,9,2
"4276","BGD",2,7,0
"4277","BGD",2,5,3
"4278","BGD",2,9,1
"4279","BGD",1,10,0
"4280","BGD",2,8,1
"4281","BGD",2,7,3
"4282","BGD",2,8,4
"4283","BGD",1,9,2
"4284","BGD",2,7,2
"4285","BGD",2,9,2
"4286","BGD",1,8,3
"4287","BGD",2,8,3
"4288","BGD",1,8,2
"4289","BGD",3,6,3
"4290","BGD",2,9,2
"4291","BGD",2,8,4
"4292","BGD",2,7,4
"4293","BGD",2,8,4
"4294","BGD",2,10,3
"4295","BGD",2,8,4
"4296","BGD",1,8,2
"4297","BGD",3,8,3
"4298","BGD",2,8,1
"4299","BGD",2,8,3
"4300","BGD",2,7,1
"4301","BGD",2,9,3
"4302","BGD",2,6,4
"4303","BGD",2,9,3
"4304","BGD",2,9,3
"4305","BGD",3,7,1
"4306","BGD",2,4,0
"4307","BGD",1,10,2
"4308","BGD",2,9,5
"4309","BGD",2,8,0
"4310","BGD",2,7,4
"4311","BGD",1,9,2
"4312","BGD",2,7,0
"4313","BGD",2,7,1
"4314","BGD",1,10,2
"4315","BGD",1,8,2
"4316","BGD",2,8,0
"4317","BGD",1,8,2
"4318","BGD",2,7,2
"4319","BGD",2,6,2
"4320","BGD",2,6,2
"4321","BGD",1,9,1
"4322","BGD",1,7,3
"4323","BGD",1,9,1
"4324","BGD",1,6,3
"4325","BGD",2,7,1
"4326","BGD",2,6,0
"4327","BGD",1,6,3
"4328","BGD",2,8,2
"4329","BGD",1,10,1
"4330","BGD",1,9,0
"4331","BGD",2,3,2
"4332","BGD",2,10,2
"4333","BGD",2,9,1
"4334","BGD",2,10,2
"4335","BGD",1,10,2
"4336","BGD",2,9,0
"4337","BGD",2,8,4
"4338","BGD",2,8,2
"4339","BGD",2,2,1
"4340","BGD",2,2,0
"4341","BGD",3,9,2
"4342","BGD",2,10,3
"4343","BGD",2,9,2
"4344","BGD",3,8,4
"4345","BGD",2,10,3
"4346","BGD",2,3,1
"4347","BGD",2,10,3
"4348","BGD",1,2,4
"4349","BGD",2,10,2
"4350","BGD",2,9,2
"4351","BGD",2,8,3
"4352","BGD",2,9,0
"4353","BGD",2,8,5
"4354","BGD",2,9,0
"4355","BGD",2,8,2
"4356","BGD",3,5,2
"4357","BGD",2,7,4
"4358","BGD",1,9,3
"4359","BGD",2,9,0
"4360","BGD",2,9,2
"4361","BGD",2,7,2
"4362","BGD",3,7,2
"4363","BGD",1,9,2
"4364","BGD",2,8,3
"4365","BGD",2,6,2
"4366","BGD",2,6,1
"4367","BGD",2,8,2
"4368","BGD",3,6,4
"4369","BGD",3,7,3
"4370","BGD",2,6,2
"4371","BGD",1,9,1
"4372","BGD",1,9,1
"4373","BGD",1,9,2
"4374","BGD",1,10,2
"4375","BGD",1,8,2
"4376","BGD",2,10,1
"4377","BGD",2,9,0
"4378","BGD",1,10,0
"4379","BGD",2,9,1
"4380","BGD",1,10,2
"4381","BGD",2,10,3
"4382","BGD",1,10,1
"4383","BGD",2,9,1
"4384","BGD",2,9,1
"4385","BGD",1,10,2
"4386","BGD",2,9,1
"4387","BGD",2,10,1
"4388","BGD",2,10,0
"4389","BGD",1,10,2
"4390","BGD",3,7,1
"4391","BGD",2,7,2
"4392","BGD",2,7,3
"4393","BGD",2,7,2
"4394","BGD",2,8,1
"4395","BGD",1,9,0
"4396","BGD",2,8,5
"4397","BGD",2,9,0
"4398","BGD",2,9,1
"4399","BGD",1,8,1
"4400","BGD",2,6,3
"4401","BGD",2,4,1
"4402","BGD",2,6,1
"4403","BGD",1,10,0
"4404","BGD",2,6,2
"4405","BGD",2,6,3
"4406","BGD",2,9,0
"4407","BGD",1,9,0
"4408","BGD",2,8,3
"4409","BGD",2,6,2
"4410","BGD",2,7,1
"4411","BGD",2,5,0
"4412","BGD",2,7,1
"4413","BGD",2,8,2
"4414","BGD",2,7,4
"4415","BGD",1,7,2
"4416","BGD",1,7,2
"4417","BGD",2,8,2
"4418","BGD",2,8,5
"4419","BGD",2,8,3
"4420","BGD",2,9,2
"4421","BGD",2,9,2
"4422","BGD",1,9,3
"4423","BGD",1,6,0
"4424","BGD",1,8,0
"4425","BGD",2,6,1
"4426","BGD",2,8,1
"4427","BGD",2,8,2
"4428","BGD",2,7,4
"4429","BGD",2,6,2
"4430","BGD",2,6,3
"4431","BGD",2,8,0
"4432","BGD",1,7,0
"4433","BGD",2,7,0
"4434","BGD",1,6,1
"4435","BGD",1,8,2
"4436","BGD",1,9,3
"4437","BGD",1,9,1
"4438","BGD",1,7,3
"4439","BGD",1,9,3
